input_function,is_exact_match,expected_condition,predicted_condition,codebleu_score,bleu_score
<mask>: <TAB> return self._absolute_order,False,"if names == 'z' or names == ('z',): <TAB> return self._absolute_order",if self._absolute_order is None: <TAB> return self._absolute_order,29.922048564601614,42.745783663716594
"<mask>: <TAB> if job_detail[""status""] == JobStatus.PENDING: <TAB> <TAB> job_detail[""checked""] = 1 <TAB> job_detail[""status""] = JobStatus.KILLED <TAB> self.redis_connection.hset(f""{self.cluster_name}:job_details"", job_name, json.dumps(job_detail))",False,"if job_detail[""status""] in UNFINISHED_JOB_STATUS: <TAB> if job_detail[""status""] == JobStatus.PENDING: <TAB> <TAB> job_detail[""checked""] = 1 <TAB> job_detail[""status""] = JobStatus.KILLED <TAB> self.redis_connection.hset(f""{self.cluster_name}:job_details"", job_name, json.dumps(job_detail))","if job_detail[""status""] == JobStatus.KILLED: <TAB> <TAB> job_detail[""checked""] = 1 <TAB> job_detail[""status""] = JobStatus.KILLED <TAB> self.redis_connection.hset(f""{self.cluster_name}:job_details"", job_name, json.dumps(job_detail))",54.2865625548698,77.55223222124258
"<mask>: <TAB> layout.label(text=item.bone, translate=False, icon='BONE_DATA')",False,"if self.layout_type in {'DEFAULT'}: <TAB> layout.label(text=item.bone, translate=False, icon='BONE_DATA')","if item.bone: <TAB> layout.label(text=item.bone, translate=False, icon='BONE_DATA')",48.922871367127186,69.88981623875313
<mask>: <TAB> continue,False,if (n - e) > self.max_right_length: <TAB> continue,"if isinstance(self, Tab): <TAB> continue",14.343955190921205,20.491364558458866
<mask>: <TAB> await ctx.send(embed=embed),False,if prefix is None: <TAB> await ctx.send(embed=embed),if embed: <TAB> await ctx.send(embed=embed),53.092310735602766,75.84615819371824
<mask>: <TAB> gps_devstring = gps,False,if gps is not None and gps_devstring is None: <TAB> gps_devstring = gps,if gps is None: <TAB> gps_devstring = gps,37.72866954412831,53.898099348754734
<mask>: <TAB> <TAB> sys.stdout.write('add account model initial operations\n') <TAB> <TAB> self.operations.extend(self.model_operations),False,if 'account_user' not in tables: <TAB> <TAB> sys.stdout.write('add account model initial operations\n') <TAB> <TAB> self.operations.extend(self.model_operations),if self.model_operations is not None: <TAB> <TAB> sys.stdout.write('add account model initial operations\n') <TAB> <TAB> self.operations.extend(self.model_operations) <TAB> <TAB> self.operations.extend(self.model_operations),41.44650020622422,59.209286008891745
<mask>: <TAB> bind = _bind_or_error(self._item),False,if bind is None: <TAB> bind = _bind_or_error(self._item),if self._item is not None: <TAB> bind = _bind_or_error(self._item),51.21534556659688,73.16477938085269
<mask>: <TAB> parent_task_queue = self._task_output_queues.get(parent_node_id),False,if parent_node_id is not None: <TAB> parent_task_queue = self._task_output_queues.get(parent_node_id),if self._task_output_queues: <TAB> parent_task_queue = self._task_output_queues.get(parent_node_id),53.09683724682258,75.85262463831798
<mask>: <TAB> break,False,if label & 1 or label in cls._WITHDRAW_LABELS: <TAB> break,"if isinstance(self, str): <TAB> break",14.087609732871622,20.125156761245176
<mask>: <TAB> continue,False,"if op.op_type == ""const"": <TAB> continue","if isinstance(self, Tab): <TAB> continue",16.642544450315313,23.77506350045045
<mask>: <TAB> file_obj.write(type_keys.ExprType.BOOL),False,if type_.kind is types.Bool: <TAB> file_obj.write(type_keys.ExprType.BOOL),if type_keys.ExprType.BOOL: <TAB> file_obj.write(type_keys.ExprType.BOOL),50.284797073440785,71.8354243906297
"<mask>: <TAB> datetime.strptime(str(start_date), ""%Y-%m-%d"")",True,"if start_date: <TAB> datetime.strptime(str(start_date), ""%Y-%m-%d"")","if start_date: <TAB> datetime.strptime(str(start_date), ""%Y-%m-%d"")",100.00000000000003,100.00000000000004
"<mask>: <TAB> raise MlemObjectNotLoadedError(f""Model {self} is not loaded"")",False,"if self.model is None: <TAB> raise MlemObjectNotLoadedError(f""Model {self} is not loaded"")","if self is not None: <TAB> raise MlemObjectNotLoadedError(f""Model {self} is not loaded"")",57.319450176803926,81.88492882400561
"<mask>: <TAB> trace_span.set_attribute( <TAB> <TAB> ""output.mime_type"", ""application/json"" <TAB> ) <TAB> trace_span.set_attribute( <TAB> <TAB> ""output.value"", <TAB> <TAB> ( <TAB> <TAB> <TAB> json.dumps(ser_output) <TAB> <TAB> <TAB> if isinstance(ser_output, dict) <TAB> <TAB> <TAB> else ser_output <TAB> <TAB> ), <TAB> )",False,"if ser_output: <TAB> trace_span.set_attribute( <TAB> <TAB> ""output.mime_type"", ""application/json"" <TAB> ) <TAB> trace_span.set_attribute( <TAB> <TAB> ""output.value"", <TAB> <TAB> ( <TAB> <TAB> <TAB> json.dumps(ser_output) <TAB> <TAB> <TAB> if isinstance(ser_output, dict) <TAB> <TAB> <TAB> else ser_output <TAB> <TAB> ), <TAB> )","if isinstance(ser_output, dict) <TAB> <TAB> else ser_output <TAB> ), <TAB> ) <TAB> trace_span.set_attribute( <TAB> <TAB> ""output.mime_type"", ""application/json"" <TAB> ) <TAB> trace_span.set_attribute( <TAB> <TAB> ""output.value"", <TAB> ( <TAB> <TAB> json.dumps(ser_output) <TAB>",55.5274517835304,79.32493111932915
<mask>: <TAB> t.tok = self.stash.runtime.search_history(t.tok) <TAB> history_found = True,False,"if t.ttype == ShToken._CMD and t.tok.startswith(""!""): <TAB> t.tok = self.stash.runtime.search_history(t.tok) <TAB> history_found = True",if history_found: <TAB> t.tok = self.stash.runtime.search_history(t.tok) <TAB> history_found = True,37.83050247289641,54.04357496128059
"<mask>: <TAB> if module.__class__.__name__ == _module.__class__.__name__: <TAB> <TAB> return <TAB> logger.debug(f""Transferring {_module.__class__.__name__} to cpu."") <TAB> _module.cpu() <TAB> _module = None  ",False,"if _module is not None: <TAB> if module.__class__.__name__ == _module.__class__.__name__: <TAB> <TAB> return <TAB> logger.debug(f""Transferring {_module.__class__.__name__} to cpu."") <TAB> _module.cpu() <TAB> _module = None  ","if module.__class__.__name__ == _module.__class__.__name__: <TAB> if module.__class__.__name__ == _module.__class__.__name__: <TAB> return <TAB> logger.debug(f""Transferring {module.__class__.__name__} to cpu."") <TAB> _module = None",50.65529294893061,72.36470421275801
<mask>: <TAB> os.unlink(self._path),False,"if self.data_type == ""blob"": <TAB> os.unlink(self._path)",if self._path: <TAB> os.unlink(self._path),39.60860951028622,56.58372787183747
<mask>: <TAB> return operation,False,"if operation.get('status', '') == 'DONE': <TAB> return operation",if operation is None: <TAB> return operation,18.287756952348992,26.125367074784275
"<mask>: <TAB> if order.user is not None and order.user.pk == user.pk: <TAB> <TAB> account_events.customer_added_to_note_order_event( <TAB> <TAB> <TAB> user=user, order=order, message=message <TAB> <TAB> ) <TAB> kwargs[""user""] = user",False,"if user is not None: <TAB> if order.user is not None and order.user.pk == user.pk: <TAB> <TAB> account_events.customer_added_to_note_order_event( <TAB> <TAB> <TAB> user=user, order=order, message=message <TAB> <TAB> ) <TAB> kwargs[""user""] = user","if order.user is not None and order.user.pk == user.pk: <TAB> <TAB> account_events.customer_added_to_note_order_event( <TAB> <TAB> user=user, order=order, message=message <TAB> <TAB> ) <TAB> kwargs[""user""] = user",59.77577659364747,85.39396656235354
<mask>: <TAB> bundle_path = base_dir,False,if os.path.exists(bundle_filepath): <TAB> bundle_path = base_dir,if bundle_path is None: <TAB> bundle_path = base_dir,35.22665688846285,50.32379555494693
"<mask>: <TAB> raise ValueError(""a nums like array must have an even number of elements"")",False,"if len(nums) % 2 != 0: <TAB> raise ValueError(""a nums like array must have an even number of elements"")","if len(array): <TAB> raise ValueError(""a nums like array must have an even number of elements"")",49.77749751924316,71.11071074177595
<mask>: <TAB> return,False,"if data is None or self._stage == ""train"" or not track_boxes: <TAB> return","if isinstance(self, str): <TAB> return self",9.447482439422147,13.496403484888782
